datetime,open,high,low,close
2019-10-28 22:40:00,108.971,108.978,108.963,108.966
2019-10-28 23:00:00,108.966,108.982,108.961,108.968
2019-10-28 23:20:00,108.967,108.983,108.966,108.972
2019-10-28 23:40:00,108.971,108.986,108.965,108.977
2019-10-29 00:00:00,108.975,109.017,108.956,108.967
2019-10-29 00:20:00,108.966,109.011,108.959,109.007
2019-10-29 00:40:00,109.007,109.068,108.996,109.007
2019-10-29 01:00:00,109.009,109.021,108.971,108.993
2019-10-29 01:20:00,108.992,108.996,108.97,108.979
2019-10-29 01:40:00,108.979,108.985,108.958,108.97
2019-10-29 02:00:00,108.97,108.972,108.958,108.963
2019-10-29 02:20:00,108.964,108.975,108.959,108.964
2019-10-29 02:40:00,108.966,108.989,108.965,108.985
2019-10-29 03:00:00,108.986,108.994,108.981,108.982
2019-10-29 03:20:00,108.982,108.985,108.961,108.962
2019-10-29 03:40:00,108.962,108.978,108.959,108.966
2019-10-29 04:00:00,108.966,108.985,108.966,108.969
2019-10-29 04:20:00,108.969,108.98,108.965,108.978
2019-10-29 04:40:00,108.979,109.001,108.975,108.998
2019-10-29 05:00:00,108.997,109.0,108.98,108.988
2019-10-29 05:20:00,108.989,108.989,108.976,108.978
2019-10-29 05:40:00,108.98,108.996,108.98,108.987
2019-10-29 06:00:00,108.987,109.004,108.981,108.984
2019-10-29 06:20:00,108.984,108.996,108.973,108.977
2019-10-29 06:40:00,108.978,108.987,108.972,108.977
2019-10-29 07:00:00,108.979,108.98,108.935,108.948
2019-10-29 07:20:00,108.947,108.953,108.894,108.922
2019-10-29 07:40:00,108.923,108.925,108.85,108.852
2019-10-29 08:00:00,108.852,108.881,108.833,108.854
2019-10-29 08:20:00,108.854,108.878,108.847,108.859
2019-10-29 08:40:00,108.86,108.89,108.859,108.885
2019-10-29 09:00:00,108.885,108.931,108.885,108.931
2019-10-29 09:20:00,108.93,108.948,108.914,108.92
2019-10-29 09:40:00,108.921,108.926,108.854,108.87
2019-10-29 10:00:00,108.87,108.902,108.859,108.901
2019-10-29 10:20:00,108.9,108.952,108.877,108.939
2019-10-29 10:40:00,108.94,108.956,108.926,108.939
2019-10-29 11:00:00,108.941,108.944,108.905,108.907
2019-10-29 11:20:00,108.907,108.923,108.896,108.907
2019-10-29 11:40:00,108.908,108.931,108.898,108.913
2019-10-29 12:00:00,108.913,108.932,108.854,108.928
2019-10-29 12:20:00,108.928,108.934,108.869,108.876
2019-10-29 12:40:00,108.876,108.903,108.872,108.903
2019-10-29 13:00:00,108.903,108.963,108.889,108.929
2019-10-29 13:20:00,108.929,108.983,108.919,108.96
2019-10-29 13:40:00,108.961,108.979,108.909,108.909
2019-10-29 14:00:00,108.907,108.951,108.896,108.922
2019-10-29 14:20:00,108.922,108.969,108.922,108.954
2019-10-29 14:40:00,108.954,108.98,108.922,108.94
2019-10-29 15:00:00,108.941,108.958,108.873,108.903
2019-10-29 15:20:00,108.902,108.914,108.885,108.908
2019-10-29 15:40:00,108.909,108.938,108.752,108.832
2019-10-29 16:00:00,108.833,108.883,108.796,108.879
2019-10-29 16:20:00,108.876,108.921,108.866,108.899
2019-10-29 16:40:00,108.9,108.929,108.879,108.918
2019-10-29 17:00:00,108.917,108.939,108.908,108.918
2019-10-29 17:20:00,108.918,108.942,108.916,108.936
2019-10-29 17:40:00,108.937,108.938,108.901,108.916
2019-10-29 18:00:00,108.916,108.928,108.901,108.901
2019-10-29 18:20:00,108.9,108.9,108.881,108.887
2019-10-29 18:40:00,108.886,108.893,108.812,108.82
2019-10-29 19:00:00,108.821,108.848,108.814,108.836
2019-10-29 19:20:00,108.837,108.873,108.828,108.837
2019-10-29 19:40:00,108.839,108.854,108.826,108.832
2019-10-29 20:00:00,108.832,108.86,108.832,108.849
2019-10-29 20:20:00,108.848,108.86,108.847,108.857
2019-10-29 20:40:00,108.857,108.89,108.855,108.885
2019-10-29 21:00:00,108.879,108.897,108.865,108.867
2019-10-29 21:20:00,108.868,108.897,108.862,108.877
2019-10-29 21:40:00,108.877,108.888,108.876,108.887
2019-10-29 22:00:00,108.891,108.892,108.841,108.87
2019-10-29 22:20:00,108.869,108.889,108.868,108.876
2019-10-29 22:40:00,108.876,108.878,108.857,108.87
2019-10-29 23:00:00,108.871,108.879,108.86,108.873
2019-10-29 23:20:00,108.872,108.873,108.855,108.859
2019-10-29 23:40:00,108.86,108.881,108.85,108.877
2019-10-30 00:00:00,108.876,108.886,108.815,108.836
2019-10-30 00:20:00,108.837,108.851,108.811,108.819
2019-10-30 00:40:00,108.82,108.86,108.813,108.837
2019-10-30 01:00:00,108.837,108.862,108.819,108.851
2019-10-30 01:20:00,108.852,108.856,108.826,108.829
2019-10-30 01:40:00,108.829,108.859,108.826,108.854
